Score,Text,clean_text,sentiment
4,"Scratchy jacket worth the money, definitely worth it. fantastic",scratchy jacket worth the money definitely worth it fantastic,positive
2,waterproof sofa Bad customer service and defective product. trash not worth it,waterproof sofa bad customer service and defective product trash not worth it,negative
5,Stylish blender superb! highly imperssed..,stylish blender superb highly imperssed,positive
1,STOPPED WORKING AFTER A WEEK. AWFUL,stopped working after a week awful,negative
3,compact notebook Decent but has some flaws. average solid,compact notebook decent but has some flaws average solid,neutral
4,"noisy shoe Top-notch experience, will buy again! worth it they're",noisy shoe top notch experience will buy again worth it they re,positive
4,"Siilent mug exceededm y expectations, highly recmomend. faaltu trash 😀",siilent mug exceededm y expectations highly recmomend faaltu trash,positive
4,lightweight notebook Happy with the performance. incredible mast hai,lightweight notebook happy with the performance incredible mast hai,positive
2,fragile sneakers Bad customer service and defective product.,fragile sneakers bad customer service and defective product,negative
5,HIGH-END MICROWAVE FIVE STARS — OUTSTANDING!,high end microwave five stars outstanding,positive
1,Stopped working after a week. ripoff,stopped working after a week ripoff,negative
4,"HIGH-END BACKPACK AMAZING PRODUCT, LOVED IT COMPLETELY!",high end backpack amazing product loved it completely,positive
5,Superb! Highly impressed.,superb highly impressed,positive
1,Bad customer service and defective product. compact speaker they're,bad customer service and defective product compact speaker they re,negative
4,Budget trimmer happy with the performance. fantastic,budget trimmer happy with the performance fantastic,positive
4,NOISY VACUUM HAPPY WITH THE PERFORMANCE. FAALTU,noisy vacuum happy with the performance faaltu,positive
2,"Broke within a day, awful. horrible",broke within a day awful horrible,negative
2,"TERRIBLE QUALITY, NOT RECOMMENDED. COMPACT OVEN",terrible quality not recommended compact oven,negative
4,Happy with the performance.,happy with the performance,positive
3,AVERAGE PRODUCT — DOES THE JOB. PREMIUM HEADPHONES,average product does the job premium headphones,neutral
4,"bidget smartwatch Top-notch experience, wil lbuy again! recommend it's",bidget smartwatch top notch experience wil lbuy again recommend it s,positive
2,FRAGILE MUG WORTHLESS PRODUCTH DOESN''T WORK.,fragile mug worthless producth doesn t work,negative
4,budget ntoebook erfect! corks as epxected. lol not working,budget ntoebook erfect corks as epxected lol not working,positive
2,"compact tabletT errible quaality ,not recommenndeed. faaltu",compact tablett errible quaality not recommenndeed faaltu,negative
1,colouurful bottle Worst purchase eever. 💯,colouurful bottle worst purchase eever,negative
4,"premium oven Worth the money, definitely worth it. kharap hai",premium oven worth the money definitely worth it kharap hai,positive
2,"noisy jacket Do not buy this, waste of money. trash not working",noisy jacket do not buy this waste of money trash not working,negative
5,Fantastic quality and great value. high-end mug,fantastic quality and great value high end mug,positive
4,"eco-friendly wallet Top-notch experience, will buy again!",eco friendly wallet top notch experience will buy again,positive
4,"Absolute delight, works like a charm.",absolute delight works like a charm,positive
5,"Amazing product, loved it completely! matte charger recommend",amazing product loved it completely matte charger recommend,positive
4,Very useful and well designed. satisfied bilkul bekaar solid,very useful and well designed satisfied bilkul bekaar solid,positive
4,HEAVY CHARGER IMPRESSED WITH THE BUILD AND FEATURES. BILKUL BEKAAR DOESN'T,heavy charger impressed with the build and features bilkul bekaar doesn t,positive
4,"firm oven Worth the money, definitely worth it. kharap hai I've",firm oven worth the money definitely worth it kharap hai i ve,positive
2,"Absolute trash, avoid at all costs. premium sofa",absolute trash avoid at all costs premium sofa,negative
1,"ECI-FRIENDLY VCAUUM VERY DISAPPOINTED, BAD EXEPRIENCE. DISAPPOINTTED KHAARAP HI",eci friendly vcauum very disappointed bad exeprience disappointted khaarap hi,negative
5,"AMAZING PRODUCT, LOVED IT COMPLETELY! EXCELLENT",amazing product loved it completely excellent,positive
2,"COMPACT BOTTLE D NOT BUY THIS, WAASTE OF MONEY.",compact bottle d not buy this waaste of money,negative
1,USELESS AND PATHETIC PERFORMANCE. FRAGILE MUG,useless and pathetic performance fragile mug,negative
4,"noisy keyboard Worth the money, definitely worth it.",noisy keyboard worth the money definitely worth it,positive
4,BEST PURCHAS I'VVE MADE THIS YEEAR. UGLY TABLET PERFECT BRILLIANT ✨,best purchas i vve made this yeear ugly tablet perfect brilliant,positive
1,Stopped working after a week.,stopped working after a week,negative
5,soft monitor Superb! Highly impressed. fantastic,soft monitor superb highly impressed fantastic,positive
5,"Top-notch experience, will buy again! fragile vacuum value for money",top notch experience will buy again fragile vacuum value for money,positive
2,"Budget wallet broke within a day, awful.",budget wallet broke within a day awful,negative
2,Worst purchase ever. high-end sneakers,worst purchase ever high end sneakers,negative
5,"Exceeded my expectations, highly recommend. luxury shoe value for money",exceeded my expectations highly recommend luxury shoe value for money,positive
5,"Worth thhe money, definittely worth it.",worth thhe money definittely worth it,positive
5,High quality and long-lasting. amazing bahut achha,high quality and long lasting amazing bahut achha,positive
5,firm phone case Perfect! Works as expected. didn't,firm phone case perfect works as expected didn t,positive
2,"Not worth the price, returning it. soft blender scam",not worth the price returning it soft blender scam,negative
3,"Heavy wallet it's okay, nothing special.",heavy wallet it s okay nothing special,neutral
4,"compact headphones Absolute delight, works like a charm. perfect",compact headphones absolute delight works like a charm perfect,positive
4,"Exceeded my expectations, highlyr ecommen.d glooss ycamera",exceeded my expectations highlyr ecommen d glooss ycamera,positive
2,"Worthless product, doesn't work.",worthless product doesn t work,negative
1,COLOURFUL TABLET WORST PURCHASE EVER. WORST,colourful tablet worst purchase ever worst,negative
2,luxury fan Stopped working after a week.,luxury fan stopped working after a week,negative
1,"Errible qualtiy, not rrecommended. ugly camera useless",errible qualtiy not rrecommended ugly camera useless,negative
2,"matte vacuum Veyr disappointed, bad experiecne.. ncam",matte vacuum veyr disappointed bad experiecne ncam,negative
5,"Exceeded my expectations, highly recommend. trash not great",exceeded my expectations highly recommend trash not great,positive
2,soft backpack Poor quality and misleading description.,soft backpack poor quality and misleading description,negative
4,Perfect! Works as expected. scratchy notebook,perfect works as expected scratchy notebook,positive
4,"Worth the money, definitely worth it. soft trimmer amazing",worth the money definitely worth it soft trimmer amazing,positive
2,lightweight blender Bad customer service and defective product. useless lame not bad,lightweight blender bad customer service and defective product useless lame not bad,negative
3,"heavy tablet It's okay, nothing special. so-so it's",heavy tablet it s okay nothing special so so it s,neutral
5,IMPRESSED WITH THE BUILD AND FEATURES.,impressed with the build and features,positive
2,"Firm smartwatch broke within a day, awful.",firm smartwatch broke within a day awful,negative
4,Five stars — otstanding! newmlmap  outtsanding acha hai trash 🔥,five stars otstanding newmlmap outtsanding acha hai trash,positive
1,budget vacuum One star — very unsatisfied. disappointed,budget vacuum one star very unsatisfied disappointed,negative
2,"luxury phone case Very disappointed, bad experience.",luxury phone case very disappointed bad experience,negative
2,"Veryd isappointd, bba dexperience. stylish walletb illiant",veryd isappointd bba dexperience stylish walletb illiant,negative
1,One star — very unsatisfied. cheap socks,one star very unsatisfied cheap socks,negative
4,"stylish microwave Worth the money, definitely worth it. amazing",stylish microwave worth the money definitely worth it amazing,positive
4,Perfect! Works as expected. faaltu not good,perfect works as expected faaltu not good,positive
5,"TOP-NOTCH EXPERIENCE, WILL BUY AGAIN! SILENT TRIMMER MAST HAI",top notch experience will buy again silent trimmer mast hai,positive
2,hig-hend charer Worst purchhage evr.,hig hend charer worst purchhage evr,negative
5,VERRY USEFUL AND OELZ DEKIGNED. BRGILT FAN LOVE,verry useful and oelz dekigned brgilt fan love,positive
3,NEW MATTRESS NEUTRAL FEELINGS ABOUT THIS ITEM. AVERAGE,new mattress neutral feelings about this item average,neutral
2,STOPPED WORKING AFTER A WEEK. NOISY LAMP,stopped working after a week noisy lamp,negative
3,Neutral feelings about this item. high-end jacket neutral bilkul bekaar,neutral feelings about this item high end jacket neutral bilkul bekaar,neutral
4,SCRATCHY WALLET PERFECT! WORKS AS EXPECTED.,scratchy wallet perfect works as expected,positive
1,"Absoluet trahs, avoid at alll costs.",absoluet trahs avoid at alll costs,negative
2,soft charger One star — very unsatisfied. awful,soft charger one star very unsatisfied awful,negative
4,HIGH QUALITY AND LONG-LASTING. YOU'RE,high quality and long lasting you re,positive
4,Fantastic quality and great value. stylish vacuum best,fantastic quality and great value stylish vacuum best,positive
4,"STYLISH VACUUM TOP-NOTCH EXPERIENCE, WILL BUY AGAIN! LOVE",stylish vacuum top notch experience will buy again love,positive
2,UGLY MUG WORST PURCHASE EVER. TRASH CAN'T,ugly mug worst purchase ever trash can t,negative
3,Neutral feelings about this item. average acha hai,neutral feelings about this item average acha hai,neutral
2,Hrorible packagin gadn brken item. luxury walelt 😞,hrorible packagin gadn brken item luxury walelt,negative
5,Great customer servibe an product. lol 👎,great customer servibe an product lol,positive
1,"DONOT BUY HIS, WASTS F MONEY.",donot buy his wasts f money,negative
4,Five stars — outstanding! doesn't,five stars outstanding doesn t,positive
1,PREMIUM NOTEBOOK HORRIBLE PACKAGING AND BROKEN ITEM. 😀,premium notebook horrible packaging and broken item,negative
2,FIRM KEYBOARD NE STAR — VERY UNSATISFIED. LOL,firm keyboard ne star very unsatisfied lol,negative
3,fragile sneakers I have mixed feelings about this.,fragile sneakers i have mixed feelings about this,neutral
4,fragile trimmer Great customer service and product. kharap hai solid I've,fragile trimmer great customer service and product kharap hai solid i ve,positive
4,"MATTE HEADPHONES AMAZING PRODUCT, LOVED IT COMPLETELY!",matte headphones amazing product loved it completely,positive
4,compact speaker Happy with the performance. love,compact speaker happy with the performance love,positive
5,Five stars — outstanding! cheap trimmer,five stars outstanding cheap trimmer,positive
4,"DURABLE PILLOW AMAZING PRODUCT, LOVED IT COMPLETELY! SATISFIED YOU'RE",durable pillow amazing product loved it completely satisfied you re,positive
5,Very useful and well designed. silent shoe wtf,very useful and well designed silent shoe wtf,positive
4,Silent shoe very useful and well designed.,silent shoe very useful and well designed,positive
1,"Very disappointed, bad experience. awful 😀",very disappointed bad experience awful,negative
5,Great customer service and product.,great customer service and product,positive
1,"DO NOT BUY THIS, WASTE OF MONEY. WORTHLESS ACHA HAI",do not buy this waste of money worthless acha hai,negative
3,Decent but has some flaws. eco-friendly camera neutral,decent but has some flaws eco friendly camera neutral,neutral
1,Stopped working after a week. scratchy jacket,stopped working after a week scratchy jacket,negative
2,"Worthless product, doesn't work. awful bahut achha",worthless product doesn t work awful bahut achha,negative
5,Best purchase i've made this year. amazing,best purchase i ve made this year amazing,positive
2,"CHEAPLY MADE, FEELS FRAGILE. SLEEK BLENDER SCAM",cheaply made feels fragile sleek blender scam,negative
4,colourful wallet Superb! Highly impressed.,colourful wallet superb highly impressed,positive
5,"lightweight smartwatch Worth the money, definitely worth it. outstanding not good",lightweight smartwatch worth the money definitely worth it outstanding not good,positive
3,UGLY CAMERA DECENT BUT HAS SOME FLAWS. AVERAGE YOU'RE NOT WORTH IT,ugly camera decent but has some flaws average you re not worth it,neutral
2,"SCRATCHY CAMERA DO NOT BUY THIS, WASTE OF MONEY. USELESS",scratchy camera do not buy this waste of money useless,negative
4,"STYLISH KEYBOARD ABSOLUTE DELIGHT, WORKS LIKE A CHARM. BEST NOT WORKING",stylish keyboard absolute delight works like a charm best not working,positive
1,"Worthless product, doesn't work. soft pillow",worthless product doesn t work soft pillow,negative
3,It's fine for occasional use. average 💯 don't,it s fine for occasional use average don t,neutral
5,LUXURY VACUUM HAPPY WITH THE PERFORMANCE. BILKUL BEKAAR,luxury vacuum happy with the performance bilkul bekaar,positive
2,"DO NOT BUY THIS, WASTE OF MONEY. ECO-FRIENDLY JACKET NOT GREAT",do not buy this waste of money eco friendly jacket not great,negative
2,"Not worth the price, returning it. noisy headphones terrible",not worth the price returning it noisy headphones terrible,negative
3,BUDGET CHARGER NEITHER GREAT NOR TERRIBLE. SO-SO,budget charger neither great nor terrible so so,neutral
4,NOISY FAN FIVE STARS — OUTSTANDING!,noisy fan five stars outstanding,positive
1,FRAGILE TABLET BAD CUSTOMER SERVICE AND DEFECTIVE PRODUCT. WTF NOT GOOD,fragile tablet bad customer service and defective product wtf not good,negative
2,"MATTE TRIMMER CHEAPLY MADE, FEELS FRAGILE. RIPOFFF",matte trimmer cheaply made feels fragile ripofff,negative
5,"AMAZING PRODUCT, LOVED IT COMPLETELY! LUXURY BLENDER",amazing product loved it completely luxury blender,positive
5,Soft shoe five stars — outstanding!,soft shoe five stars outstanding,positive
1,silent wallet One star — very unsatisfied. pathetic wtf,silent wallet one star very unsatisfied pathetic wtf,negative
2,colourful tablet Stopped working after a week. useless 😀,colourful tablet stopped working after a week useless,negative
2,Poor quality and misleading description. durable monitor useless faaltu,poor quality and misleading description durable monitor useless faaltu,negative
5,"LIGHTWEIGHT JACKET ABSOLUTE DELIGHT, WORKS LIKE A CHARM. INCREDIBLE",lightweight jacket absolute delight works like a charm incredible,positive
2,"high-end headphones Cheaply made, feels fragile. horrible bahut achha",high end headphones cheaply made feels fragile horrible bahut achha,negative
3,It'sfine for oscassional use .durable sneakers won't,it sfine for oscassional use durable sneakers won t,neutral
5,stylish speaker Perfect! Works as expected. amazing 😀,stylish speaker perfect works as expected amazing,positive
1,"NOT WOTR HTHE PRICE, RETURNIYG IT. HEAVY OVEN",not wotr hthe price returniyg it heavy oven,negative
5,GREAT CUSTOMER SERVICE AND PRODUCT. ECO-FRIENDLY TSHIRT BEST,great customer service and product eco friendly tshirt best,positive
5,Five stars — outstanding! cheap tshirt excellent 😢 not good,five stars outstanding cheap tshirt excellent not good,positive
4,"AMAZING PRODUCT, LOVED IT COMPLETELY! LUXURY VACUUM BRILLIANT",amazing product loved it completely luxury vacuum brilliant,positive
4,premium speaker Fantastic quality and great value. satisfied can't,premium speaker fantastic quality and great value satisfied can t,positive
4,Durable socks perfect! works as expected.,durable socks perfect works as expected,positive
3,"soft camera Works,abut not impessive. neutral",soft camera works abut not impessive neutral,neutral
4,"Fragilf an amazing product, loved it completely!s ahi hai lol 😢",fragilf an amazing product loved it completely s ahi hai lol,positive
4,"Soft tablet top-notch experiennce, will buy again! value for mony",soft tablet top notch experiennce will buy again value for mony,positive
2,"Worthless product, doesn't work. new pillow useless kharap hai solid",worthless product doesn t work new pillow useless kharap hai solid,negative
5,Very useful and well designed. glossy tablet solid,very useful and well designed glossy tablet solid,positive
2,"lightweight microwave Cheaply made, feels fragile. ripoff",lightweight microwave cheaply made feels fragile ripoff,negative
2,"Worthless product, doesn't work. scam bahut achha",worthless product doesn t work scam bahut achha,negative
5,BEST PURCHASE I'VE MADE THIS YEAR. WATERPROOF SNEAKERS PERFECT,best purchase i ve made this year waterproof sneakers perfect,positive
1,durable phone case Worst purchase ever.,durable phone case worst purchase ever,negative
1,"CHEAPLY MADE, FEELS FRAGILE.",cheaply made feels fragile,negative
5,"high-end trimmer op-notch experience, will buy agan!",high end trimmer op notch experience will buy agan,positive
5,"Absolute delight, works like a charm. sahi hai",absolute delight works like a charm sahi hai,positive
4,Fantastic quality and great vlaue. satisfied,fantastic quality and great vlaue satisfied,positive
3,NEITHER GREAT NOR TERRIBLE. SLEEK MUG,neither great nor terrible sleek mug,neutral
1,Poor quality and misleading description. ripoff bahut achha,poor quality and misleading description ripoff bahut achha,negative
2,"Cheaply made, feels fragile. eco-friendly wallet trash",cheaply made feels fragile eco friendly wallet trash,negative
5,"WORTH THE MONEY, DEFINITELY WORTH IT. PERFECT",worth the money definitely worth it perfect,positive
1,"heavy speaker Terrible quality, not recommended. useless sahi hai",heavy speaker terrible quality not recommended useless sahi hai,negative
4,"lightweight smartwatch Worth the money, definitely worth it.",lightweight smartwatch worth the money definitely worth it,positive
1,"Do not buy this, waste of money. mast hai lame",do not buy this waste of money mast hai lame,negative
5,"Worth the money, definitely worth it. budget phone case love khaarap haiinoot good",worth the money definitely worth it budget phone case love khaarap haiinoot good,positive
4,BEST PURCHASE I'VE MADE THIS YEAR. HIGH-END JACKET TRASH,best purchase i ve made this year high end jacket trash,positive
1,Worst purchase ever. bright microwave worst i'm,worst purchase ever bright microwave worst i m,negative
5,Impressed with the build and features. soft mug,impressed with the build and features soft mug,positive
4,Perfect! woorks as expected. waterproou fan recommend,perfect woorks as expected waterproou fan recommend,positive
4,"Noisy mongtor top-ontch experience, will buy again! recommend 🔥",noisy mongtor top ontch experience will buy again recommend,positive
2,"Do not buy this, waste of money. pathetic",do not buy this waste of money pathetic,negative
4,COMPACT ROUTER HAPPY WITH THE PERFORMANCE. FANTASTIC DIDN'T,compact router happy with the performance fantastic didn t,positive
5,"budget notebook Exceeded my expectations, highly recommend.",budget notebook exceeded my expectations highly recommend,positive
2,Useless andtpthedic pperformance. ripoff 👎,useless andtpthedic pperformance ripoff,negative
4,Very useful and well designed. firm shoe,very useful and well designed firm shoe,positive
1,"BROKE WITHIN A DAY, AWFUL. HORRIBLE 👎",broke within a day awful horrible,negative
5,HIGH QUALITY AND LONG-LASTING. SCRATCHY PHONE CASE,high quality and long lasting scratchy phone case,positive
3,Firm tablet average product — does the job.,firm tablet average product does the job,neutral
4,"Amazing product, loved it completely! luxury shoe",amazing product loved it completely luxury shoe,positive
3,I HAVE MIXED FEELINGS ABOUT THIS. PREMIUM MICROWAVE BAHUT ACHHA,i have mixed feelings about this premium microwave bahut achha,neutral
2,"roke within a day, awfu .ugly mattress",roke within a day awfu ugly mattress,negative
1,Bad customer service and defective product.,bad customer service and defective product,negative
5,Soft mug high quality and long-lasting.,soft mug high quality and long lasting,positive
3,"Budget socks mediocre quality, acceptable for the price.",budget socks mediocre quality acceptable for the price,neutral
4,"Absoulte delight, owrkks like a cahrm. fragile ntebook mast haiilol",absoulte delight owrkks like a cahrm fragile ntebook mast haiilol,positive
4,"TOP-NOTCH EXPERIENCE, WILL BUY AGAIN! BUDGET SNEAKERS 😡 DON'T",top notch experience will buy again budget sneakers don t,positive
1,"CHEAP MATTRESS NOT WORTH THE PRICE, RETURNING IT.",cheap mattress not worth the price returning it,negative
4,"compact headphones Absolute delight, works like a charm.",compact headphones absolute delight works like a charm,positive
2,"premium socks Cheaply made, feels oargile. ripoff not good",premium socks cheaply made feels oargile ripoff not good,negative
1,"Not worth the price, returning it. scratchy wallet kharap hai",not worth the price returning it scratchy wallet kharap hai,negative
2,LIGHTWEIGHT HEADPHONES STOPPED WORKING AFTER A WEEK.,lightweight headphones stopped working after a week,negative
1,premium socks Poor quality and misleading description.,premium socks poor quality and misleading description,negative
2,"Worthless product, doesn't work. worst doesn't",worthless product doesn t work worst doesn t,negative
1,"Brroke within  day, awful. ugly oven",brroke within day awful ugly oven,negative
5,MATTE HEADPHONES HIGH QUALITY AND LONG-LASTING. BAHUT ACHHA,matte headphones high quality and long lasting bahut achha,positive
5,ugly socks Very useful and well designed.,ugly socks very useful and well designed,positive
1,Horrible packaging and broken item. durable speaker omg,horrible packaging and broken item durable speaker omg,negative
2,Bad customer service and defective product. broken,bad customer service and defective product broken,negative
4,Lightweight headphones five stars — outstanding! value for money,lightweight headphones five stars outstanding value for money,positive
5,ugly  monitor Happs with the performance. value wor  mmoney,ugly monitor happs with the performance value wor mmoney,positive
3,"Durable lamp it's okay, nothing special.",durable lamp it s okay nothing special,neutral
5,HIGH QUALITY AND LONG-LASTING. HIGH-END SOCKS,high quality and long lasting high end socks,positive
3,Scratchy sofa decent but has some flaws.,scratchy sofa decent but has some flaws,neutral
5,"WORTH THE MONEY, DEFINITELY WORTH IT.",worth the money definitely worth it,positive
5,Great customer servife and product. ugly ntebook 👍,great customer servife and product ugly ntebook,positive
5,compact sneakers Perfect! Works as expected.,compact sneakers perfect works as expected,positive
4,HIGH-END SHOE FANTASTIC QUALITY AND GREAT VALUE. 👍,high end shoe fantastic quality and great value,positive
5,"budget sofa Exceeded my expectations, highly recommend.",budget sofa exceeded my expectations highly recommend,positive
2,Bad customer service and defective product. bilkul bekaar,bad customer service and defective product bilkul bekaar,negative
5,bright mug High quality and long-lasting. 😢 didn't,bright mug high quality and long lasting didn t,positive
2,"PREMIUM SNEAKERS NOT WORTH THE PRICE, RETURNING IT. TRASH YOU'RE",premium sneakers not worth the price returning it trash you re,negative
2,"cheap vacum Not worth the price, retutning it. worsst",cheap vacum not worth the price retutning it worsst,negative
4,heavy vacuum Superb! Highly impressed. satisfied,heavy vacuum superb highly impressed satisfied,positive
2,POOR QUALITY AND MISLEADING DESCRIPTION. BRIGHT MUG,poor quality and misleading description bright mug,negative
1,Scratchy monitor worst purchase ever.,scratchy monitor worst purchase ever,negative
5,Scratchy lamp great customer service and product. worth it,scratchy lamp great customer service and product worth it,positive
4,Best purchase I've made this year. 😀 won't not great,best purchase i ve made this year won t not great,positive
3,Rfagile oven nneithher great nor terrible. neutrl,rfagile oven nneithher great nor terrible neutrl,neutral
3,"NOT BAD, COULD BE BETTER. DON'T",not bad could be better don t,neutral
4,high-end trimmer Happy with the performance.,high end trimmer happy with the performance,positive
1,Stopped working after a week. lightweight monitor pathetic not working,stopped working after a week lightweight monitor pathetic not working,negative
4,Five stars — outstanding! value for money acha hai,five stars outstanding value for money acha hai,positive
3,lightweight pillow Ih ave mixed feelings about this. I've,lightweight pillow ih ave mixed feelings about this i ve,neutral
2,"CHEAPLY MADE, FEELS FRAGILE.",cheaply made feels fragile,negative
1,COMACT FAN USELESS AND PATEHTTIC PERFORMANCE. DON'T,comact fan useless and patehttic performance don t,negative
5,"Top-notch experiennce, will buy again! compact monitor I've",top notch experiennce will buy again compact monitor i ve,positive
2,Bad customer service and defective product. awful,bad customer service and defective product awful,negative
4,"Top-notch experience, will buy again! lightweight microwave mast hai solid it's",top notch experience will buy again lightweight microwave mast hai solid it s,positive
2,"Absolute rtanh, avoad at all costs.",absolute rtanh avoad at all costs,negative
3,AVERAGE PRODUCT — DOES THE JOB.,average product does the job,neutral
4,matte camera Superb! Highly impressed. didn't,matte camera superb highly impressed didn t,positive
2,POOR QUALITY AND MISLEADING DESCRIPTION. WATERPROOF VACUUM,poor quality and misleading description waterproof vacuum,negative
3,"IT'S OKAY, NOTHING SPECIAL. PREMIUM BACKPACK SOLID",it s okay nothing special premium backpack solid,neutral
2,"VERY DISAPPOINTED, BAD EXPERIENCE. WATERPROOF TRIMMER",very disappointed bad experience waterproof trimmer,negative
3,It's fine for occasional use.. ugly chbrger,it s fine for occasional use ugly chbrger,neutral
3,"It's okay, nothing special. durable mattress bahut achha",it s okay nothing special durable mattress bahut achha,neutral
2,"high-end mattress Not worth the price, returning it. awful doesn't",high end mattress not worth the price returning it awful doesn t,negative
4,High quality and long-lasting. satisfied,high quality and long lasting satisfied,positive
4,HIGH-END FAN VERY USEFUL AND WELL DESIGNED. OUTSTANDING 👍,high end fan very useful and well designed outstanding,positive
1,"ABSOLUTE TRASH, AVOID AT ALL COSTS. HIGH-END SOFA",absolute trash avoid at all costs high end sofa,negative
1,"VERY DISAPPOINTED, BAD EXPERIENCE. HEAVY TABLET",very disappointed bad experience heavy tablet,negative
3,eco-friendly sneakers Neutral feelings about this item. so-so,eco friendly sneakers neutral feelings about this item so so,neutral
1,"fragile vacuum Not worth the price, returning it.",fragile vacuum not worth the price returning it,negative
5,Superb! Highly impressed. glossy microwave recommend,superb highly impressed glossy microwave recommend,positive
1,Bad customer service and defective product. colourful tshirt awful,bad customer service and defective product colourful tshirt awful,negative
4,Five stars — outstanding! outstanding,five stars outstanding outstanding,positive
1,ugly tablet Useless and pathetic performance. acha hai it's,ugly tablet useless and pathetic performance acha hai it s,negative
3,"Works, but not impressive. 😞 not great",works but not impressive not great,neutral
1,"Do not buy this, waste of money. colourful router",do not buy this waste of money colourful router,negative
4,Happy with the performance. colourful sofa satisfied,happy with the performance colourful sofa satisfied,positive
4,bright routre Worth thhe moneyd definitely worth it. nnot working,bright routre worth thhe moneyd definitely worth it nnot working,positive
1,"colourful keyboard Broke within a day, awful.",colourful keyboard broke within a day awful,negative
2,USELESS AND PATHETIC PERFORMANCE.,useless and pathetic performance,negative
5,ugly sneakers High quality and long-lasting.,ugly sneakers high quality and long lasting,positive
2,Horriwle packaging and broken item. aawful acha hai 👍,horriwle packaging and broken item aawful acha hai,negative
4,"EXCEEDED MY EXPECTATIONS, HIGHLY RECOMMEND. MATTE LAMP",exceeded my expectations highly recommend matte lamp,positive
1,GLOSSY TSHIRT HORRIBLE PACKAGING AND BROKEN ITEM. USELESS FAALTU 👍,glossy tshirt horrible packaging and broken item useless faaltu,negative
2,"Do not buy this, waste of money. horrible omg",do not buy this waste of money horrible omg,negative
1,"compact smartwatch Terrible quality, not recommended. can't",compact smartwatch terrible quality not recommended can t,negative
3,NEUTRAL FEELINGS ABOUT THIS ITEM. FRAGILE WALLET NEUTRAL 😞,neutral feelings about this item fragile wallet neutral,neutral
5,PERFECT! WORKS AS EPXECTED. NOT WORKING,perfect works as epxected not working,positive
2,"Do not buy this, waste of money. premium vacuum worthless kharap hai",do not buy this waste of money premium vacuum worthless kharap hai,negative
4,"high-end blender Amazing product, loved it completely! excellent",high end blender amazing product loved it completely excellent,positive
5,"Wotrh the money,definitely worth it. value for money  trash",wotrh the money definitely worth it value for money trash,positive
1,"CHEAP HEADPHONES TERRIBLE QUALITY, NOT RECOMMENDED. DEFECTIVE",cheap headphones terrible quality not recommended defective,negative
4,fragile sofa Perfect! Works as expected. recommend won't,fragile sofa perfect works as expected recommend won t,positive
5,"premium phone case Exceeded my expectations, hghly recommend. not worth iv",premium phone case exceeded my expectations hghly recommend not worth iv,positive
5,Best purchase i've made this year. noisy tablet amazing 👎,best purchase i ve made this year noisy tablet amazing,positive
3,"Mediocre quality, acceptable for tthe price. average nt good",mediocre quality acceptable for tthe price average nt good,neutral
4,High quality and long-lasting. sahi hai,high quality and long lasting sahi hai,positive
1,"sleekm attress Broke within a day, aful. wrothless",sleekm attress broke within a day aful wrothless,negative
4,compact sneakers Perfect! Works as expected.,compact sneakers perfect works as expected,positive
4,"WORTH HTE MONEY, DEFINITELY WORTH IT.",worth hte money definitely worth it,positive
1,USELESS AND PATHETIC PERFORMANCE. LUXURY TABLET BRILLIANT CAN'T,useless and pathetic performance luxury tablet brilliant can t,negative
1,HORRIBLE PCKAGING AND BROKEN ITEM. SAHI HAI,horrible pckaging and broken item sahi hai,negative
2,"LIGHTWEIGHT SMARTWATCH ABSOLUTE TRASH, AVOID AT ALL COSTS. AWFUL",lightweight smartwatch absolute trash avoid at all costs awful,negative
2,Stopped working after a week. firm oven terrible,stopped working after a week firm oven terrible,negative
1,"MATTE BOTTLE CHEAPLY MADE, FEELS FRAGILE. DEFECTIVE",matte bottle cheaply made feels fragile defective,negative
1,Poor quality and misleading description.,poor quality and misleading description,negative
1,heavy bottle Poor quualotyand misleading description.,heavy bottle poor quualotyand misleading description,negative
2,Worst purchase ever. soft vacuum terrible,worst purchase ever soft vacuum terrible,negative
5,high-end microwave Worth the money definitely worth it.,high end microwave worth the money definitely worth it,positive
3,Average prduct — does the job. stylish blender so-os sahi hai,average prduct does the job stylish blender so os sahi hai,neutral
2,Poor quality and misleading description. ripoff,poor quality and misleading description ripoff,negative
5,"Top-notch experience, will buy again! compact mug don't",top notch experience will buy again compact mug don t,positive
5,Fantastic quality and great value. not good,fantastic quality and great value not good,positive
2,"Terrible quality, not recommended. fragile trimmer don't",terrible quality not recommended fragile trimmer don t,negative
1,"Very disappointed, bad experienae.",very disappointed bad experienae,negative
4,Superb! Highly impressed.,superb highly impressed,positive
5,"Top-otch expperience, will buy again! lightweight pillo 👎",top otch expperience will buy again lightweight pillo,positive
3,Neither great nor terrible. neutral bilkul bekaar,neither great nor terrible neutral bilkul bekaar,neutral
1,"waterproof lamp Terrible quality, not recommended.",waterproof lamp terrible quality not recommended,negative
3,I have mixed feelings about this. compact sofa average,i have mixed feelings about this compact sofa average,neutral
1,ONE STAR — VERY UNSATISFIED. COLOURFUL MICROWAVE AWFUL DIDN'T,one star very unsatisfied colourful microwave awful didn t,negative
5,"COOLOURFUL CHARGER ABAOLUTE DELIGHT, WORKS LLKE AOCHARM.",coolourful charger abaolute delight works llke aocharm,positive
